Time (s)	Liquid height relative to zero point (mm)
19.8167	0.1721
19.8333	-0.1756
19.8500	-0.3494
19.8667	-0.4942
19.8833	-0.5521
19.9000	-0.4073
19.9167	-0.1466
19.9333	0.2300
19.9500	0.5776
19.9667	0.8673
19.9833	0.8963
20.0000	0.6356
20.0167	0.4038
20.0333	0.0562
20.0500	-0.1176
20.0667	-0.2625
20.0833	-0.3204
20.1000	-0.2045
20.1167	0.0272
20.1333	0.4038
20.1500	0.7225
20.1667	0.9253
20.1833	0.5776
20.2000	0.2590
20.2167	-0.0597
20.2333	-0.2335
20.2500	-0.3494
20.2667	-0.4363
20.2833	-0.3494
20.3000	-0.1466
20.3167	0.1431
20.3333	0.3749
20.3500	0.6645
20.3667	0.5197
20.3833	0.3169
20.4000	0.1141
20.4167	-0.1176
20.4333	-0.2045
20.4500	-0.3204
20.4667	-0.2625
20.4833	0.0272
20.5000	0.3749
20.5167	0.7804
20.5333	1.1280
20.5500	1.4467
20.5667	1.7654
20.5833	1.5336
20.6000	1.0411
20.6167	0.6066
20.6333	0.2879
20.6500	0.1721
20.6667	0.2879
20.6833	0.4328
20.7000	0.7225
20.7167	1.0411
20.7333	1.3308
20.7500	1.7074
20.7667	1.7654
20.7833	1.0701
20.8000	0.5487
20.8167	0.0562
20.8333	0.1141
20.8500	0.0562
20.8667	-0.2045
20.8833	0.0272
20.9000	0.3169
20.9167	0.5776
20.9333	0.7514
20.9500	0.4907
20.9667	0.2879
20.9833	0.0852
21.0000	-0.0597
21.0167	-0.1176
21.0333	-0.2045
21.0500	-0.0886
21.0667	0.1721
21.0833	0.4618
21.1000	0.8094
21.1167	1.0991
21.1333	1.3308
21.1500	1.4177
21.1667	1.1280
21.1833	0.7804
21.2000	0.4328
21.2167	0.2300
21.2333	0.2010
21.2500	0.4038
21.2667	0.6356
21.2833	0.9542
21.3000	1.2439
21.3167	1.4757
21.3333	1.7943
21.3500	1.5915
21.3667	1.2439
21.3833	0.6935
21.4000	0.3749
21.4167	0.2300
21.4333	0.2590
21.4500	0.4618
21.4667	0.7804
21.4833	1.1280
21.5000	1.4177
21.5167	1.7654
21.5333	1.7943
21.5500	1.7943
21.5667	1.6784
21.5833	1.3308
21.6000	1.0122
21.6167	0.7225
21.6333	0.7804
21.6500	0.9832
21.6667	1.2729
21.6833	1.7074
21.7000	1.8233
21.7167	1.8812
21.7333	1.6784
21.7500	1.2149
21.7667	0.8094
21.7833	0.5487
21.8000	0.3169
21.8167	0.1431
21.8333	0.2300
21.8500	0.4907
21.8667	0.8094
21.8833	1.1280
21.9000	1.3598
21.9167	1.0411
21.9333	0.8094
21.9500	0.6066
21.9667	0.4328
21.9833	0.2879
22.0000	0.0852
22.0167	0.0852
22.0333	0.2590
22.0500	0.5487
22.0667	0.8963
22.0833	1.1860
22.1000	1.1570
22.1167	0.6935
22.1333	0.4618
22.1500	0.2010
22.1667	0.0852
22.1833	-0.0307
22.2000	-0.0886
22.2167	0.0562
22.2333	0.2300
22.2500	0.5487
22.2667	1.0701
22.2833	1.1280
